epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,519.905,1.25742,0.66714,0.85706,0.67562,0.68845,0.68065,0.37926,1.2081,0.65315,0.84343,0.000742625,0.000742625,0.000742625
43,530.329,1.26711,0.66093,0.85497,0.72715,0.65166,0.68073,0.38643,1.15797,0.64387,0.83926,0.00073025,0.00073025,0.00073025
44,542.428,1.22684,0.64742,0.84965,0.76624,0.63989,0.67235,0.36317,1.18208,0.67681,0.84377,0.000717875,0.000717875,0.000717875
45,554.581,1.25244,0.65091,0.85642,0.80298,0.6444,0.67723,0.38734,1.13938,0.64309,0.84002,0.0007055,0.0007055,0.0007055
46,566.707,1.22213,0.64397,0.85053,0.75239,0.66505,0.68845,0.38744,1.20103,0.64541,0.8421,0.000693125,0.000693125,0.000693125
47,578.84,1.23746,0.63897,0.85596,0.7741,0.58672,0.66231,0.38299,1.09031,0.64692,0.83609,0.00068075,0.00068075,0.00068075
48,589.882,1.23954,0.64337,0.84659,0.78504,0.62308,0.66489,0.37896,1.13234,0.66179,0.8379,0.000668375,0.000668375,0.000668375
49,603.231,1.21194,0.62917,0.85023,0.76475,0.6363,0.67618,0.38851,1.113,0.62485,0.83662,0.000656,0.000656,0.000656
50,615.257,1.17461,0.61636,0.84744,0.79092,0.67328,0.70817,0.40789,1.13169,0.61776,0.83716,0.000643625,0.000643625,0.000643625
51,627.36,1.19469,0.61507,0.84924,0.7852,0.66695,0.70021,0.41133,1.08544,0.6006,0.83745,0.00063125,0.00063125,0.00063125
52,639.443,1.16971,0.60887,0.84532,0.78098,0.62132,0.69334,0.39755,1.11861,0.62758,0.83619,0.000618875,0.000618875,0.000618875
53,651.388,1.20483,0.62756,0.84628,0.83941,0.65764,0.70154,0.40654,1.10365,0.61866,0.83457,0.0006065,0.0006065,0.0006065
