epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,290.423,1.34638,0.73527,0.87261,0.81518,0.54453,0.60699,0.33849,1.22691,0.72374,0.85391,0.000742625,0.000742625,0.000742625
43,297.058,1.35637,0.7251,0.87777,0.83031,0.51013,0.58274,0.28927,1.42614,0.79591,0.85941,0.00073025,0.00073025,0.00073025
44,303.688,1.34846,0.72414,0.87373,0.83033,0.52297,0.60293,0.32052,1.32006,0.76203,0.85537,0.000717875,0.000717875,0.000717875
45,310.31,1.34344,0.72337,0.87334,0.85217,0.52455,0.6091,0.334,1.25009,0.7321,0.84879,0.0007055,0.0007055,0.0007055
46,316.951,1.30213,0.70153,0.86789,0.85004,0.51597,0.60706,0.34091,1.20528,0.71569,0.84971,0.000693125,0.000693125,0.000693125
47,323.602,1.30989,0.70574,0.86652,0.75986,0.55104,0.62469,0.35383,1.19469,0.70542,0.84913,0.00068075,0.00068075,0.00068075
48,330.21,1.35211,0.7211,0.86886,0.81034,0.5691,0.61939,0.34756,1.20299,0.70448,0.84717,0.000668375,0.000668375,0.000668375
49,336.812,1.30848,0.6998,0.86617,0.89868,0.52336,0.61543,0.35116,1.18854,0.69714,0.84751,0.000656,0.000656,0.000656
50,343.525,1.33126,0.69914,0.86585,0.79281,0.53871,0.58904,0.33988,1.20097,0.71484,0.84658,0.000643625,0.000643625,0.000643625
51,350.216,1.30982,0.69029,0.86782,0.78515,0.57704,0.61331,0.34572,1.19127,0.71711,0.84828,0.00063125,0.00063125,0.00063125
52,356.798,1.30248,0.68714,0.86629,0.83231,0.55459,0.61212,0.34372,1.19502,0.71922,0.84728,0.000618875,0.000618875,0.000618875
53,363.441,1.3018,0.69525,0.86436,0.76545,0.53183,0.59738,0.34271,1.17214,0.72662,0.84511,0.0006065,0.0006065,0.0006065
54,370.077,1.289,0.6891,0.86472,0.74307,0.56199,0.62192,0.35381,1.17906,0.71067,0.84539,0.000594125,0.000594125,0.000594125
55,376.878,1.28033,0.68263,0.86083,0.72999,0.55666,0.61729,0.35997,1.17062,0.69327,0.84532,0.00058175,0.00058175,0.00058175
56,383.547,1.26527,0.67151,0.86514,0.79016,0.56318,0.62095,0.3503,1.22676,0.73012,0.85232,0.000569375,0.000569375,0.000569375
57,390.133,1.30259,0.68185,0.86433,0.72599,0.54023,0.6072,0.34336,1.19877,0.72178,0.84694,0.000557,0.000557,0.000557
58,396.74,1.30206,0.68443,0.8637,0.80017,0.58895,0.65318,0.37509,1.16609,0.67787,0.84438,0.000544625,0.000544625,0.000544625
59,403.449,1.29621,0.67,0.85482,0.78582,0.58434,0.64336,0.37471,1.15356,0.67631,0.84346,0.00053225,0.00053225,0.00053225
60,410.186,1.27406,0.66713,0.86152,0.76244,0.57954,0.62221,0.36404,1.16192,0.6845,0.84225,0.000519875,0.000519875,0.000519875
61,416.791,1.28486,0.66704,0.86195,0.80478,0.55215,0.63582,0.35734,1.18737,0.68775,0.84386,0.0005075,0.0005075,0.0005075
62,423.456,1.28392,0.66801,0.86612,0.82004,0.5815,0.64127,0.36904,1.168,0.69708,0.84314,0.000495125,0.000495125,0.000495125
63,430.052,1.26468,0.65763,0.86001,0.75106,0.56779,0.62913,0.3668,1.15075,0.67117,0.84186,0.00048275,0.00048275,0.00048275
64,436.655,1.27258,0.6568,0.86135,0.71883,0.60348,0.6354,0.3662,1.17997,0.67455,0.8449,0.000470375,0.000470375,0.000470375
65,443.395,1.26494,0.65577,0.85938,0.76233,0.51654,0.59726,0.3396,1.21344,0.716,0.84457,0.000458,0.000458,0.000458
66,449.975,1.26336,0.66064,0.8605,0.74942,0.56511,0.6202,0.35019,1.21022,0.69302,0.84477,0.000445625,0.000445625,0.000445625
67,456.568,1.25385,0.65196,0.85617,0.77284,0.54408,0.62849,0.36815,1.15907,0.68194,0.84187,0.00043325,0.00043325,0.00043325
68,463.165,1.27222,0.65198,0.86098,0.77249,0.58169,0.6298,0.37134,1.14447,0.6868,0.84048,0.000420875,0.000420875,0.000420875
69,469.75,1.2515,0.64886,0.85767,0.7105,0.56491,0.61408,0.34543,1.22317,0.70948,0.84368,0.0004085,0.0004085,0.0004085
70,476.503,1.25583,0.65308,0.8589,0.72306,0.58866,0.62914,0.36602,1.14754,0.66166,0.84156,0.000396125,0.000396125,0.000396125
71,483.134,1.2769,0.6528,0.85867,0.74675,0.59142,0.63939,0.36587,1.16881,0.67948,0.84485,0.00038375,0.00038375,0.00038375
72,489.776,1.26511,0.64049,0.85893,0.71395,0.55402,0.61276,0.35025,1.18461,0.69753,0.84245,0.000371375,0.000371375,0.000371375
73,496.451,1.23343,0.63792,0.85471,0.77434,0.54852,0.62884,0.36657,1.15299,0.68178,0.84074,0.000359,0.000359,0.000359
74,503.157,1.22555,0.63106,0.85478,0.81727,0.52145,0.62649,0.36112,1.18233,0.67554,0.84348,0.000346625,0.000346625,0.000346625
75,509.887,1.24098,0.63516,0.85535,0.77431,0.57674,0.64174,0.37283,1.14039,0.65822,0.84263,0.00033425,0.00033425,0.00033425
76,516.485,1.22674,0.63468,0.85481,0.76374,0.59083,0.63572,0.37219,1.13905,0.66391,0.84145,0.000321875,0.000321875,0.000321875
77,523.005,1.24812,0.63921,0.85539,0.72998,0.61023,0.64109,0.37933,1.13322,0.64819,0.83957,0.0003095,0.0003095,0.0003095
78,529.575,1.22263,0.62974,0.85009,0.78964,0.56197,0.62828,0.37559,1.14049,0.66114,0.84117,0.000297125,0.000297125,0.000297125
79,536.278,1.23222,0.6311,0.85742,0.70721,0.60249,0.64497,0.37055,1.17133,0.65242,0.84511,0.00028475,0.00028475,0.00028475
80,542.906,1.22888,0.62487,0.85601,0.76654,0.58038,0.63288,0.3519,1.26274,0.68376,0.84647,0.000272375,0.000272375,0.000272375
81,549.451,1.22039,0.62321,0.85888,0.78148,0.56894,0.64223,0.3728,1.13063,0.6524,0.84064,0.00026,0.00026,0.00026
82,556.059,1.18979,0.60766,0.85382,0.73323,0.55856,0.62654,0.37153,1.12907,0.6495,0.84037,0.000247625,0.000247625,0.000247625
83,562.704,1.21148,0.6235,0.85689,0.79233,0.56785,0.63323,0.36914,1.14061,0.64446,0.84186,0.00023525,0.00023525,0.00023525
84,569.437,1.21568,0.626,0.85272,0.79454,0.57051,0.63533,0.36737,1.15835,0.6534,0.84248,0.000222875,0.000222875,0.000222875
85,576.027,1.21794,0.63013,0.85351,0.82009,0.56283,0.64342,0.37518,1.1415,0.65213,0.84096,0.0002105,0.0002105,0.0002105
86,582.576,1.17742,0.61429,0.85333,0.87371,0.52739,0.63962,0.37421,1.14239,0.66612,0.84083,0.000198125,0.000198125,0.000198125
87,589.217,1.23482,0.62579,0.85408,0.77166,0.57452,0.65442,0.38608,1.13615,0.6478,0.83963,0.00018575,0.00018575,0.00018575
88,595.794,1.23051,0.62418,0.8579,0.77776,0.57597,0.65191,0.38233,1.13078,0.64005,0.84024,0.000173375,0.000173375,0.000173375
89,602.51,1.17811,0.60839,0.85255,0.7934,0.57595,0.65536,0.38865,1.11893,0.63637,0.83955,0.000161,0.000161,0.000161
90,609.169,1.20964,0.61946,0.852,0.73696,0.59283,0.64997,0.38361,1.14103,0.63916,0.84074,0.000148625,0.000148625,0.000148625
91,616.621,1.15428,0.59941,0.8601,0.74076,0.56713,0.62538,0.35624,1.16398,0.67389,0.84402,0.00013625,0.00013625,0.00013625
92,622.866,1.15395,0.59286,0.85732,0.77021,0.55473,0.61792,0.35345,1.18975,0.69176,0.84311,0.000123875,0.000123875,0.000123875
93,629.042,1.14728,0.59162,0.85637,0.79158,0.58926,0.63867,0.36703,1.16195,0.69177,0.84221,0.0001115,0.0001115,0.0001115
94,635.427,1.13302,0.58337,0.85329,0.7836,0.59919,0.64646,0.37788,1.1467,0.66821,0.8404,9.9125e-05,9.9125e-05,9.9125e-05
95,641.623,1.12956,0.57969,0.85696,0.7593,0.59096,0.63716,0.37167,1.15013,0.67062,0.83991,8.675e-05,8.675e-05,8.675e-05
96,647.847,1.11355,0.57929,0.85258,0.76005,0.59152,0.635,0.36769,1.15617,0.67219,0.84071,7.4375e-05,7.4375e-05,7.4375e-05
97,654.037,1.10929,0.56783,0.85545,0.75545,0.59244,0.63665,0.36972,1.13527,0.67501,0.83996,6.2e-05,6.2e-05,6.2e-05
98,660.249,1.1202,0.57612,0.84963,0.7656,0.58781,0.63566,0.36836,1.15956,0.67101,0.84094,4.9625e-05,4.9625e-05,4.9625e-05
99,666.61,1.11042,0.57304,0.84636,0.78953,0.59975,0.6453,0.37472,1.13332,0.66107,0.8402,3.725e-05,3.725e-05,3.725e-05
100,672.807,1.10345,0.57345,0.85013,0.74884,0.60116,0.63918,0.37343,1.13846,0.6589,0.83979,2.4875e-05,2.4875e-05,2.4875e-05
